#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chrUn_KI270423v1	1	981	2	195	19.8777	0.198777	26.5	23
chrUn_KI270429v1	1	1361	4	233	17.1198	0.293902	36.7	60
chrUn_KI270442v1	1	392061	1431	71758	18.3028	0.331765	35	38.2
chrUn_KI270466v1	1	1233	263	1230	99.7567	20.1354	35	37.5
chrUn_KI270465v1	1	1774	2	141	7.94814	0.11274	36.9	0
chrUn_KI270467v1	1	3920	1117	2851	72.7296	27.0355	34.8	43.4
chrUn_KI270435v1	1	92983	190	11170	12.0129	0.182894	34.8	29.6
chrUn_KI270438v1	1	112505	3033	23522	20.9075	2.56612	34.9	26.1
chrUn_KI270468v1	1	4055	10	740	18.2491	0.246609	36	57.7
chrUn_KI270510v1	1	2415	9	579	23.9752	0.361905	33.3	25.9
chrUn_KI270509v1	1	2318	12	969	41.8033	0.517688	36.3	53.2
chrUn_KI270518v1	1	2186	12	669	30.6038	0.522873	35.8	47.1
chrUn_KI270508v1	1	1951	29	1260	64.5823	1.47053	34.4	33.3
chrUn_KI270516v1	1	1300	8	432	33.2308	0.615385	36.6	60
chrUn_KI270512v1	1	22689	38	2411	10.6263	0.151571	35.4	28.2
chrUn_KI270519v1	1	138126	344	22563	16.3351	0.238594	35.3	41.4
chrUn_KI270522v1	1	5674	4	282	4.97004	0.070497	36.6	60
chrUn_KI270511v1	1	8127	12	933	11.4803	0.141627	36	30.1
chrUn_KI270515v1	1	6361	29	1847	29.0363	0.448829	35.3	52.6
chrUn_KI270507v1	1	5353	31	1911	35.6996	0.568466	35.6	50.7
chrUn_KI270517v1	1	3253	22	1289	39.625	0.635106	35.4	39.5
chrUn_KI270529v1	1	1899	4	348	18.3254	0.210637	31.8	32
chrUn_KI270530v1	1	2168	4	155	7.14945	0.184502	34.6	0
chrUn_KI270539v1	1	993	4	191	19.2346	0.40282	33.1	57.2
chrUn_KI270538v1	1	91309	169	11340	12.4194	0.180902	35.2	38.7
chrUn_KI270583v1	1	1400	10	452	32.2857	0.709286	35.4	43.5
chrUn_KI270587v1	1	2969	9	647	21.7918	0.29707	36.2	37.8
chrUn_KI270580v1	1	1553	12	442	28.461	0.772698	34.8	46.3
chrUn_KI270581v1	1	7046	1	100	1.41924	0.0141924	34.5	0
chrUn_KI270579v1	1	31033	29	2342	7.54681	0.0929978	35.2	0
chrUn_KI270589v1	1	44474	89	5364	12.061	0.185457	34.6	21.6
chrUn_KI270590v1	1	4685	12	999	21.3234	0.253362	35.6	42.6
chrUn_KI270584v1	1	4513	26	1680	37.2258	0.576113	34.6	45.8
chrUn_KI270588v1	1	6158	11	787	12.7801	0.175219	36.3	42.2
chrUn_KI270593v1	1	3041	12	942	30.9767	0.390003	36.1	35.5
chrUn_KI270591v1	1	5796	36	1973	34.0407	0.577985	34.8	37.9
chrUn_KI270330v1	1	1652	6	291	17.615	0.363196	35.5	16.5
chrUn_KI270329v1	1	1040	2	171	16.4423	0.192308	36.7	0
chrUn_KI270334v1	1	1368	3	255	18.6404	0.219298	34.9	0
chrUn_KI270333v1	1	2699	249	2061	76.3616	8.35124	34.8	16.7
chrUn_KI270335v1	1	1048	4	333	31.7748	0.381679	35.5	0
chrUn_KI270338v1	1	1428	4	257	17.9972	0.280112	36.4	0
chrUn_KI270336v1	1	1026	73	885	86.2573	6.25341	34.9	14.7
chrUn_KI270337v1	1	1121	297	974	86.8867	25.2962	34.7	15.4
chrUn_KI270363v1	1	1803	2	155	8.59678	0.110926	34.1	25
chrUn_KI270364v1	1	2855	4	322	11.2785	0.140105	36.4	0
chrUn_KI270374v1	1	2656	4	271	10.2033	0.134789	35.8	0
chrUn_KI270375v1	1	2378	1	100	4.20521	0.0420521	33.7	0
chrUn_KI270448v1	1	7992	22	1333	16.6792	0.275275	35.9	42.8
chrUn_KI270521v1	1	7642	7	574	7.51112	0.0900288	34.5	29.7
chrUn_GL000219v1	1	179198	21	1390	0.775678	0.0101117	34.7	6.38
chrUn_GL000220v1	1	161802	85	1772	1.09517	0.0500674	33.4	0
chrUn_GL000224v1	1	179693	8	423	0.235401	0.00404022	33.9	0
chrUn_KI270741v1	1	157432	1	42	0.0266782	0.000266782	35.7	0
chrUn_GL000213v1	1	164239	101	4778	2.90918	0.0611487	35.1	0
chrUn_KI270743v1	1	210658	616	39442	18.7232	0.290471	35.2	17.9
chrUn_KI270744v1	1	168472	917	26774	15.8923	0.539888	34.9	15.5
chrUn_KI270745v1	1	41891	441	10104	24.1197	1.04953	35.1	7.76
chrUn_KI270746v1	1	66486	596	23935	36.0001	0.890323	35.1	40.7
chrUn_KI270747v1	1	198735	185	7513	3.78041	0.0895464	34.8	19.1
chrUn_KI270748v1	1	93321	92	6473	6.93627	0.0980272	35.2	0
chrUn_KI270749v1	1	158759	314	21967	13.8367	0.196134	34.9	27.4
chrUn_KI270750v1	1	148850	731	39396	26.4669	0.487645	35	25.9
chrUn_KI270751v1	1	150742	327	18137	12.0318	0.213656	35.2	37.7
chrUn_KI270753v1	1	62944	230	15345	24.3788	0.362894	35.1	15.2
chrUn_KI270754v1	1	40191	390	13909	34.6073	0.958921	34.9	10.3
chrUn_KI270755v1	1	36723	13	947	2.57877	0.0354002	33.2	3.54
chrUn_KI270756v1	1	79590	67	3854	4.84232	0.0614022	35.1	16.3
chrUn_KI270757v1	1	71251	263	15354	21.5492	0.35309	35.3	33.1
chrUn_GL000214v1	1	137718	53	3383	2.45647	0.0366982	35.9	0.132
chrUn_KI270742v1	1	186739	779	42806	22.9229	0.414022	35.2	17.5
chrUn_GL000216v2	1	176608	200	6354	3.5978	0.0769161	35.3	5.41
chrUn_GL000218v1	1	161147	128	7722	4.7919	0.0786177	34.8	0.68
chrX	1	156040895	284995	13611666	8.72314	0.181317	35	53.5
chrY	1	57227415	48142	2274996	3.97536	0.0823235	35.1	24.6
chrY_KI270740v1_random	1	37240	32	2438	6.54672	0.0859291	36	29.6
chrUn_KI270302v1	1	2274	0	0	0	0	0	0
chrUn_KI270304v1	1	2165	0	0	0	0	0	0
chrUn_KI270316v1	1	1444	0	0	0	0	0	0
chrUn_KI270312v1	1	998	0	0	0	0	0	0
chrUn_KI270419v1	1	1029	0	0	0	0	0	0
chrUn_KI270418v1	1	2145	0	0	0	0	0	0
chrUn_KI270417v1	1	2043	0	0	0	0	0	0
chrUn_KI270425v1	1	1884	0	0	0	0	0	0
chrUn_KI270528v1	1	2983	0	0	0	0	0	0
chrUn_KI270544v1	1	1202	0	0	0	0	0	0
chrUn_KI270548v1	1	1599	0	0	0	0	0	0
chrUn_KI270582v1	1	6504	0	0	0	0	0	0
chrUn_KI270340v1	1	1428	0	0	0	0	0	0
chrUn_KI270362v1	1	3530	0	0	0	0	0	0
chrUn_KI270366v1	1	8320	0	0	0	0	0	0
chrUn_KI270378v1	1	1048	0	0	0	0	0	0
chrUn_KI270379v1	1	1045	0	0	0	0	0	0
chrUn_KI270389v1	1	1298	0	0	0	0	0	0
chrUn_KI270390v1	1	2387	0	0	0	0	0	0
chrUn_KI270387v1	1	1537	0	0	0	0	0	0
chrUn_KI270395v1	1	1143	0	0	0	0	0	0
chrUn_KI270396v1	1	1880	0	0	0	0	0	0
chrUn_KI270388v1	1	1216	0	0	0	0	0	0
chrUn_KI270394v1	1	970	0	0	0	0	0	0
chrUn_KI270386v1	1	1788	0	0	0	0	0	0
chrUn_KI270391v1	1	1484	0	0	0	0	0	0
chrUn_KI270383v1	1	1750	0	0	0	0	0	0
chrUn_KI270393v1	1	1308	0	0	0	0	0	0
chrUn_KI270384v1	1	1658	0	0	0	0	0	0
chrUn_KI270392v1	1	971	0	0	0	0	0	0
chrUn_KI270381v1	1	1930	0	0	0	0	0	0
chrUn_KI270385v1	1	990	0	0	0	0	0	0
chrUn_KI270382v1	1	4215	0	0	0	0	0	0
chrUn_KI270376v1	1	1136	0	0	0	0	0	0
chrUn_KI270372v1	1	1650	0	0	0	0	0	0
chrUn_KI270373v1	1	1451	0	0	0	0	0	0
chrUn_KI270371v1	1	2805	0	0	0	0	0	0
chrUn_GL000195v1	1	182896	0	0	0	0	0	0
chrUn_GL000226v1	1	15008	0	0	0	0	0	0
chrUn_KI270752v1	1	27745	0	0	0	0	0	0
